file_name,caption_1,caption_2,caption_3,caption_4,caption_5
24may2010loudestthunder.wav,A powerful storm blows the clouds overhead while thunder rumbles in the distance.,"A strong wind blows, while thunder rumbles intermittently.","Thunder rolls while rain falls, the thunder occasionally getting closer and louder.","Thunder rolls while rain falls, the thunder occasionally is getting closer and louder.",rain falls in the background as thunder rumbles loudly
BOILING WATER COOKING.wav,A pot of water is boiling on a stove.,Rain clouds are rumbling in the sky as drops of water are falling down to the ground.,"Rain clouds rumble, as water drops to the ground.",Rain is falling down while the wind is also blowing.,"While the wind blows, rain also falls down."
Eating With The Drill.wav,A drilling machine is operated with short breaks.,A drilling machine is operated with some pauses,A person drills the same spot over and over again.,A rumbling comes from a small device beating onto another surface.,A rumbling comes from a small device when it beats against another surface.
Glass_Bottle_Spilling_Liquid.wav,A person playing in water in a tub.,Liquid splashes or drips lightly at an even pace.,Liquid splashes or drips lightly at an even tempo.,Water splashing and sloshing in a steady pace,a hand splashing a small amount of water pausing then repeatedly doing it again
Screaming Door.wav,A high pitched squeak at consistent intervals along with some creaking.,A high pitched squeak at consistent intervals with some creaking.,A long squeak is followed by many more squeaks and the wind blows softly.,"Door hinge or cabinet hinge squeaking, opening and closing multiple times.",Many squeaks follow the first long squeak while the wind blows softly.
waves_2.wav,A bee is buzzing while water is flowing down from a faucet followed by birds chirping.,Rain is coming down while a fly or bee is making noise.,Some flies are buzzing by as some water runs underneath.,Some flies buzzing by as some water runs underneath.,during the intermittent buzzing of bees water is filled and splashed as birds follow with their chirps
sonicpostcards-49GR-frenocar.wav,A beat was drumming and trumpet sounding and people in the background talking,A child squeaks as other children are stomping.,A machine rhythmically works as water runs and people talk.,A machine type of almost music is going off while water is running and voices are in the back ground.,Kids are singing stomping and one child squeaks.
Munich Cathedral.wav,A person is playing an organ and people are moving around.,A person playing an organ with people whispering.,A person plays an organ while people are whispering.,"Church music, church organ, people unintelligible talking whispering.","People are talking in whispers, with the church organ playing church music in the background."
Tiny bells.wav,A container with metal in it is being shaken.,A person shakes a bottle and shakes money from the bottle.,"A person shakes a bottle, which drops out some money.",Stirring of water in a glass with a spoon fast and ending up very slowly,"Water in a glass is stirred with a spoon, at first quickly and eventually very slowly."
elicottero.wav,"A helicopter flies through the sky, passing a person on the ground.","A helicopter is flying above, getting closer and louder after first flying away.",An helicopter flying above and getting closer and louder after going away.,An helicopter from afar flew closer and left.,An helicopter in the distance became close and then flew away.
bus.wav,A truck picking up speed and then continues to drive down the street.,A truck picks up speed as it continues down the road.,"An engine revs up, then fades away into the distance where it then slows.","Near a semi enclosed space, trucks mix with traffic.",Trucks mixed with traffic running near a semi enclosed space.
Medium sized hand bell at diffrent tones.wav,"A small bell being rung, first slowly and then more quickly.",A small bell is ringing with short pauses as time goes on.,Bells going off every so often getting louder and louder.,Bells ring intermittently and become louder and louder.,Someone is ringing a small bell repeatedly with brief intervals in between.
Heavy construction in progress.wav,A motor vehicle is running with speed and stopped its engine,"As a jackhammer or another small engine begins to start, the engine of a vehicle is revved then driven away.",Someone is operating some heavy machinery and then shuts it off.,"Someone operates some heavy machinery, then shuts it off.",The was a jackhammer running at a construction site in the distance.
Rain on Window with Thunder.wav,An individual walks alone through the wind and rain.,Booming sounds and light rain of a distant approaching storm,Booming thunder and light rain from an approaching storm.,Rain falling with thunder in the background once,The thunder roars loudly while the rain falls.
Lake Waves 2.wav,At a consistent rate someone wades through somewhat deep water,"Because of the unsteady flow, the water splashed around.",The dishes are being washed and rinsed in a sink,Water is flowing at unsteady rates splashing around.,a person is taking a bath and washing in the tub
